ID,Code,Agency_ru,Type_ru,InstrumentShortName_ru,InstrumentLongName_ru,Status,translation_source
C08/701,701,РОСКОСМОС,Связь,БРК,,Operational,PDF
C08/710,710,РОСКОСМОС,Лидар,Алиса,Лидар обратного рассеяния,Operational,PDF
C08/712,712,РОСКОСМОС,Лидар,Лидар Балкан-2,,Operational,PDF
C08/715,715,РОСКОСМОС,Лидар,МК-4,,Operational,PDF
C08/716,716,РОСКОСМОС,Лидар,МК-4М,,Operational,PDF
C08/730,730,РОСКОСМОС,Радиолокатор,Гребень,Радиолокационный высотомер,Operational,PDF
C08/731,731,РОСКОСМОС,Радиолокатор,РСА-10,Радиолокатор с синтезированной апертурой,Operational,PDF
C08/732,732,РОСКОСМОС,Радиолокатор,РСА-3,Радиолокатор с синтезированной апертурой,Operational,PDF
C08/733,733,РОСКОСМОС,Радиолокатор,РСА-70,Радиолокатор с синтезированной апертурой,Operational,PDF
C08/740,740,РОСКОСМОС,Радиолокатор,РБО-3,Радиолокатор бокового обзора,Operational,PDF
C08/745,745,РОСКОСМОС,Радиолокатор,РСА Траверс,,Operational,PDF
C08/750,750,РОСКОСМОС,Радиометр,174-К,Профилометр температуры и влажности,Operational,PDF
C08/751,751,РОСКОСМОС,Радиометр,БТВК,Радиометр телевизионного сканирования,Operational,PDF
C08/752,752,РОСКОСМОС,Радиометр,Чайка,Радиометр ИК-сканирования,Operational,PDF
C08/753,753,РОСКОСМОС,Радиометр,Дельта-2,Многоспектральный микроволновый сканер,Operational,PDF
C08/755,755,РОСКОСМОС,Радиометр,Икар-Д,Многоспектральный микроволновый сканер,Operational,PDF
C08/756,756,РОСКОСМОС,Радиометр,Икар-Н,Многоспектральный микроволновый сканер,Operational,PDF
C08/757,757,РОСКОСМОС,Радиометр,Икар-П,Многоспектральный микроволновый сканер,Operational,PDF
C08/760,760,РОСКОСМОС,Радиометр,ИСП,,Operational,PDF
C08/761,761,РОСКОСМОС,Радиометр,КФА-1000,Фотоаппарат,Operational,PDF
C08/762,762,РОСКОСМОС,Радиометр,КФА-200,Фотоаппарат,Operational,PDF
C08/763,763,РОСКОСМОС,Радиометр,КФА-3000,Фотоаппарат,Operational,PDF
C08/770,770,РОСКОСМОС,Радиометр,Климат,Радиометр ИК-сканирования,Operational,PDF
C08/771,771,РОСКОСМОС,Радиометр,Климат-2,Радиометр ИК-сканирования,Operational,PDF
C08/775,775,РОСКОСМОС,Радиометр,МИРАС,,Operational,PDF
C08/776,776,РРОСКОСМОС	 Радиометр,,МИВЗА,,Operational,PDF
C08/777,777,РОСКОСМОС,Радиометр,МИВЗА-M,Радиометр микроволнового сканирования,Operational,PDF
C08/780,780,РОСКОСМОС,Радиометр,МР-2000,,Operational,PDF
C08/781,781,РОСКОСМОС,Радиометр,МР-2000М,,Operational,PDF
C08/785,785,РОСКОСМОС,Радиометр,МР-900,Сканирующий телефотометр,Operational,PDF
C08/786,786,РОСКОСМОС,Радиометр,МР-900Б,Телефотометр сканирования в видимом диапазоне,Operational,PDF
C08/790,790,РОСКОСМОС,Радиометр,МСУ-Э,Многоспектральный электронный сканер высокого разрешения,Operational,PDF
C08/791,791,РОСКОСМОС,Радиометр,МСУ-Э1,Многоспектральный электронный сканер высокого разрешения,Operational,PDF
C08/792,792,РОСКОСМОС,Радиометр,МСУ-Э2,Многоспектральный электронный сканер высокого разрешения,Operational,PDF
C08/793,793,РОСКОСМОС,Радиометр,МСУ-М,,Operational,PDF
C08/794,794,РОСКОСМОС,Радиометр,МСУ-С,Многоспектральный сканер со средним разрешением,Operational,PDF
C08/795,795,РОСКОСМОС,Радиометр,МСУ-СК,Многоспектральный конический сканер со средним резрешением,Operational,PDF
C08/796,796,РОСКОСМОС,Радиометр,МСУ-В,Многоспектральный конический сканер с высоким разрешением,Operational,PDF
C08/810,810,РОСКОСМОС,Радиометр,МТЗА,Радиометр микроволнового сканирования,Operational,PDF
C08/815,815,РОСКОСМОС,Многоспект-,МЗОАС,Радиометр микроволнового сканиро-,Operational,PDF
C08/820,820,РОСКОСМОС,Многоспект-,Р-225,Одноканальный микроволновый,Operational,PDF
C08/821,821,РОСКОСМОС,Радиометр,Р-400,,Operational,PDF
C08/822,822,РОСКОСМОС,Радиометр,Р-600,Одноканальный микроволновый радиометр,Operational,PDF
C08/830,830,РОСКОСМОС,Радиометр,РМС,Система измерения радиации,Operational,PDF
C08/835,835,РОСКОСМОС,Радиометр,ТВ-камера,,Operational,PDF
C08/836,836,РОСКОСМОС,Радиометр,СИЛВА,,Operational,PDF
C08/840,840,РОСКОСМОС,Спектрорадиометр,СРОСМО,Спектрорадиометр для монторинга океана,Operational,PDF
C08/850,850,РОСКОСМОС,Спектрометр,БУФС-2,Спектрометр обратного рассеяния/2,Operational,PDF
C08/851,851,РОСКОСМОС,Спектрометр,БУФС-4,Спектрометр обратного рассеяния/4,Operational,PDF
C08/855,855,РОСКОСМОС,Спектрометр,ИСТОК-1,Инфракрасный спектрометр,Operational,PDF
C08/856,856,РОСКОСМОС,Спектрометр,СФМ-2,Спектрометр для измерения прямой солнечной радиации,Operational,PDF
C08/857,857,РОСКОСМОС,Спектрометр,ДОПИ,,Operational,PDF
C08/858,858,РОСКОСМОС,Спектрометр,КГИ-4,,Operational,PDF
C08/859,859,РОСКОСМОС,Спектрометр,Озон-M,,Operational,PDF
C08/860,860,РОСКОСМОС,Спектрометр,РМК-2,,Operational,PDF
C08/861,861,,,,,Operational,NA
C08/862,862,,,,,Operational,NA
C08/900,900,НУОА,Радиометр,MAXIE,Эксперимент по получению изображений атмосферных ренгеновских лучей магнитосферы,Operational,PDF
C08/901,901,НУОА,Радиометр,OLS,Оперативная система линейного сканирования,Operational,PDF
C08/905,905,НУОА,Радиометр,SSM/I,Прибор для получения изображений в микроволновом диапзоне,Operational,PDF
C08/906,906,НУОА,Радиометр,SSM/T-1,Программный датчик микроволнового зонда температуры,Operational,PDF
C08/907,907,НУОА,Радиометр,SSM/T-2,Микроволновый программный датчик зонда водяного пара,Operational,PDF
C08/908,908,НУОА,Радиометр,SSMIS,Специальный датчик для получения изображений и зондирования в микроволновом диапазоне,Operational,PDF
C08/909,909,,,,,Operational,NA
C08/910,910,НУОА,Радиометр,SXI,Прибор для получения изображений рентгеновского излучения Солнца,Operational,PDF
C08/930,930,НУОА,Спектрометр,EHIC,Энергетический эксперимент по опредеделению состава тяжелых ионов,Operational,PDF
C08/931,931,НУОА,Спектрометр,Рентгеновская астрономическая бортовая аппаратура,,Operational,PDF
C08/932,932,NRSCC,Многоспект-,IVISSR (FY-2),Усовершенствованный многоспектраль-,Operational,PDF
C08/933,933,NRSCC,Прибор для,IRAS,Прибор для зондирования атмосферы,Operational,PDF
C08/934,934,NRSCC,Прибор для,MWAS,Микроволновый прибор для зондиро-,Operational,PDF
C08/935,935,NRSCC,Прибор для,IMWAS,Усовершенствованный микроволновый,Operational,PDF
C08/936,936,NRSCC,Прибор для,MWHS,Микроволновый прибор для зондиро-,Operational,PDF
C08/937,937,NRSCC,Многоспект-,MVIRS,Спектрорадиометр для получения,Operational,PDF
C08/938,938,NRSCC,Многоспект-,MWRI,Радиометр для получения изображений,Operational,PDF
C08/940,940,РОСКОСМОС,Прибор для,МТВЗА-OK,Радиометр микроволнового сканиро-,Operational,PDF
C08/941,941,КНЕС,Прибор для зондирования атмосферной температуры и влажности,SAPHIR,,Operational,PDF
C08/942,942,КНЕС,Микроволно-,MADRAS,Анализ и обнаружение дождя и атмо-,Operational,PDF
C08/943,943,CNSA,Скаттерометр,SCAT (на CFOSAT),Скаттерометр,Operational,PDF
C08/944,944,НУОА,Радиолокационный высотомер,ALT,Высотомер,Operational,PDF
C08/945,945,НУОА,Радиометр для,TSIS,Датчик суммарного солнечного,Operational,PDF
C08/946,946,НУОА,Многоспект,CMIS,Микроволновый прибор для получения,Operational,PDF
C08/947,947,НУОА,Прибор для,OMPS,Блок для картирования и получения,Operational,PDF
C08/948,948,НУОА,Прибор для зон-,GPSOS,Датчик экранирования глобальной,Operational,PDF
C08/949,949,НУОА,Прибор для,SESS,Блок датчиков для зондирования,Operational,PDF
C08/950,950,NRSCC,Многоспектраль-,VIRR,"Многоспектральный радиометр,",Operational,PDF
C08/951,951,NRSCC,Прибор для,TOM,Прибор для картирования общего,Operational,PDF
C08/952,952,NRSCC,Прибор для определения общего содержания и профиля озона,OP,Профилометр озона,Operational,PDF
C08/953,953,КМУ,Микроволно-,MWHS-2,Микроволновый зонд измерения,Operational,PDF
C08/954,954,КМУ,Микроволно-,MWTS-2,Микроволновый зонд измерения,Operational,PDF
C08/955,955,КМУ,Надирный,HIRAS,Гиперспектральный инфракрасный,Operational,PDF
C08/956,956,КМУ,Спектрометр,SBUS,Зонд солнечного ультрафиолетового излучения обратного рассеяния,Operational,PDF
C08/957,957,КМУ,Спектрометр,TOU,Устройство для измерения общего содержания озона,Operational,PDF
C08/958,958,КМУ,Радио-,GNOS,Глобальной навигационной спутниковой,Operational,PDF
C08/959,959,SNSB,Сканирующий лимбовый зонд,SMR,Субмиллиметровый радиометр,Operational,PDF
C08/960,960,,Зарезервирован,,,Operational,PDF
C08/961,961,КМУ,Многоспект-,AGRI,Усовершенствованный геостационарный,Operational,PDF
C08/962,962,КМУ,Зондировщик,GIIRS,Геостационарный интерферометрический,Operational,PDF
C08/963,963,КМУ,Оптический,LMI,Прибор для получения изображений,Operational,PDF
C08/964,964,КМУ,Космическая,SEP,Комплект оборудования для наблюдений,Operational,PDF
C08/965,965,,,,,Operational,NA
C08/966,966,,,,,Operational,NA
C08/967,967,,,,,Operational,NA
C08/968,968,,,,,Operational,NA
C08/969,969,,,,,Operational,NA
C08/970,970,,,,,Operational,NA
C08/971,971,,,,,Operational,NA
C08/972,972,,,,,Operational,NA
C08/973,973,,,,,Operational,NA
C08/974,974,,,,,Operational,NA
C08/975,975,,,,,Operational,NA
C08/976,976,,,,,Operational,NA
C08/977,977,,,,,Operational,NA
C08/978-979,978-979,,,,,Operational,NA
C08/980,980,КМА,Прибор для получения,AMI,Усовершенствованный метеорологический,Operational,PDF
C08/981,981,КМА,Прибор для получения,MI,Метеорологический прибор для получе-,Operational,PDF
C08/982,982,КМА,Космическая среда,KSEM,Korea Space Weather Monitor,Operational,PDF
C08/983,983,,,,,Operational,NA
C08/984,984,,,,,Operational,NA
C08/985,985,,,,,Operational,NA
C08/986,986,,,,,Operational,NA
C08/987,987,,,,,Operational,NA
C08/988,988,,,,,Operational,NA
C08/989,989,,,,,Operational,NA
C08/990,990,,,,,Operational,NA
C08/991,991,,,,,Operational,NA
C08/992,992,,,,,Operational,NA
C08/993,993,,,,,Operational,NA
C08/994,994,,,,,Operational,NA
C08/995-999,995-999,,,,,Operational,NA
C08/1000-2046,1000-2046,,,,,Operational,NA
C08/2047,2047,,Отсутствующее значение,,,Operational,PDF
