ID,Code,Agency_fr,Type_fr,InstrumentShortName_fr,InstrumentLongName_fr,Status,translation_source
C08/777,777,ROSCOSMOS,Radiomètre,MIVZA-M,Radiomètre hyperfréquence à balayage,Operational,PDF
C08/780,780,ROSCOSMOS,Radiomètre,MR-2000,,Operational,PDF
C08/781,781,ROSCOSMOS,Radiomètre,MR-2000M,,Operational,PDF
C08/785,785,ROSCOSMOS,Radiomètre,MR-900,Téléphotomètre à balayage,Operational,PDF
C08/786,786,ROSCOSMOS,Radiomètre,MR-900B,Téléphotomètre à balayage à bande visuelle,Operational,PDF
C08/790,790,ROSCOSMOS,Radiomètre,MSU-E,Scanner électronique multispectral haute résolution,Operational,PDF
C08/791,791,ROSCOSMOS,Radiomètre,MSU-E1,Scanner électronique multispectral haute résolution,Operational,PDF
C08/792,792,ROSCOSMOS,Radiomètre,MSU-E2,Scanner électronique multispectral haute résolution,Operational,PDF
C08/793,793,ROSCOSMOS,Radiomètre,MSU-M,,Operational,PDF
C08/794,794,ROSCOSMOS,Radiomètre,MSU-S,Scanner multispectral moyenne résolution,Operational,PDF
C08/795,795,ROSCOSMOS,Radiomètre,MSU-SK,Scanner conique multispectral moyenne résolution,Operational,PDF
C08/796,796,ROSCOSMOS,Radiomètre,MSU-V,Scanner conique multispectral haute résolution,Operational,PDF
C08/810,810,ROSCOSMOS,Radiomètre,MTZA,Radiomètre hyperfréquence à balayage,Operational,PDF
C08/815,815,ROSCOSMOS,Radiomètre imageur multispectral (hyperfréquence passive),MZOAS,Radiomètre hyperfréquence à balayage,Operational,PDF
C08/820,820,ROSCOSMOS,Radiomètre,R-225,Radiomètre hyperfréquence à un seul,Operational,PDF
C08/821,821,ROSCOSMOS,Radiomètre,R-400,,Operational,PDF
C08/822,822,ROSCOSMOS,Radiomètre,R-600,Radiomètre hyperfréquence à un seul canal,Operational,PDF
C08/830,830,ROSCOSMOS,Radiomètre,RMS,Système de mesure du rayonnement,Operational,PDF
C08/835,835,ROSCOSMOS,Radiomètre,Caméra de télévision,,Operational,PDF
C08/836,836,ROSCOSMOS,Radiomètre,SILVA,,Operational,PDF
C08/840,840,ROSCOSMOS,Spectroradiomètre,SROSMO,Spectroradiomètre de surveillance de l'océan,Operational,PDF
C08/850,850,ROSCOSMOS,Spectromètre,BUFS-2,Spectromètre à rétrodiffusion/2,Operational,PDF
C08/851,851,ROSCOSMOS,Spectromètre,BUFS-4,Spectromètre à rétrodiffusion/4,Operational,PDF
C08/855,855,ROSCOSMOS,Spectromètre,ISTOK-1,Spectromètre infrarouge,Operational,PDF
C08/856,856,ROSCOSMOS,Spectromètre,SFM-2,Spectromètre mesurant le rayonne ment solaire direct,Operational,PDF
C08/857,857,ROSCOSMOS,Spectromètre,DOPI,,Operational,PDF
C08/858,858,ROSCOSMOS,Spectromètre,KGI-4,,Operational,PDF
C08/859,859,ROSCOSMOS,Spectromètre,Ozon-M,,Operational,PDF
C08/860,860,ROSCOSMOS,Spectromètre,RMK-2,,Operational,PDF
C08/861,861,,,,,Operational,NA
C08/862,862,,,,,Operational,NA
C08/900,900,NOAA,Radiomètre,MAXIE,Expérience d'imagerie par les rayons X dans la magnétosphère et l'atmosphère,Operational,PDF
C08/901,901,NOAA,Radiomètre,OLS,Système de balayage horizontal opérationnel,Operational,PDF
C08/905,905,NOAA,Radiomètre,SSM/I,Imageur hyperfréquence à capteur de mission,Operational,PDF
C08/906,906,NOAA,Radiomètre,SSM/T-1,Sondeur de température hyperfréquence à capteur de mission,Operational,PDF
C08/907,907,NOAA,Radiomètre,SSM/T-2,Sondeur de vapeur d'eau hyperfréquence à capteur de mission,Operational,PDF
C08/908,908,NOAA,Radiomètre,SSMIS,Sondeur imageur hyperfréquence (capteur spécial),Operational,PDF
C08/909,909,,,,,Operational,NA
C08/910,910,NOAA,Radiomètre,SXI,Imageur de rayons X solaires,Operational,PDF
C08/930,930,NOAA,Spectromètre,EHIC,Expérience sur la composition énergétique des ions lourds,Operational,PDF
C08/931,931,NOAA,Spectromètre,Charge utile: rayons X,,Operational,PDF
C08/932,932,NRSCC,Radiomètre,IVISSR (FY-2),Radiomètre amélioré à balayage,Operational,PDF
C08/933,933,NRSCC,Sondeur de température et d'humidité de l'atmosphère,IRAS,Sondeur atmosphérique infrarouge,Operational,PDF
C08/934,934,NRSCC,Sondeur de,MWAS,Sondeur atmosphérique,Operational,PDF
C08/935,935,NRSCC,Sondeur de,IMWAS,Sondeur atmosphérique,Operational,PDF
C08/936,936,NRSCC,Sondeur de température et d'humidité de l'atmosphère,MWHS,Sondeur d'humidité hyperfréquence,Operational,PDF
C08/937,937,NRSCC,Radiomètre,MVIRS,Spectromètre imageur à moyenne,Operational,PDF
C08/938,938,NRSCC,Radiomètre,MWRI,Imageur à rayonnement,Operational,PDF
C08/940,940,ROSCOSMOS,Sondeur de,MTVZA-CK,Radiomètre hyperfréquence à,Operational,PDF
C08/941,941,CNES,Sondeur de température et d'humidité de l'atmosphère,SAPHIR,,Operational,PDF
C08/942,942,CNES,Imageur,MADRAS,Analyse et détection de la pluie et,Operational,PDF
C08/943,943,CNSA,Diffusiomètre,SCAT (sur CFOSAT)	 Diffusiomètre,,Operational,PDF
C08/944,944,NOAA,Altimètre radar,ALT,Altimètre,Operational,PDF
C08/945,945,NOAA,Radiomètre,TSIS,Capteur de rayonnement solaire,Operational,PDF
C08/946,946,NOAA,Radiomètre,CMIS,Sondeur/imageur hyperfréquence,Operational,PDF
C08/947,947,,,,,Operational,NA
C08/948,948,NOAA,"Sondeur de l'environnement spatial, sondeur de température et d'humidité de l'atmosphère",GPSOS,Capteur à occultation GPS,Operational,PDF
C08/949,949,NOAA,"Champ magnétique,	 SESS",,Ensemble de capteurs pour la mesure,Operational,PDF
C08/950,950,NRSCC,Radiomètre,VIRR,Radiomètre à balayage multispectral,Operational,PDF
C08/951,951,,,,,Operational,NA
C08/952,952,,,,,Operational,NA
C08/953,953,CMA,"Radiomètre capteur hyperfréquence, balayage perpendiculaire à la trajectoire",MWHS-2,Capteur d'humidité hyperfréquence - 2,Operational,PDF
C08/954,954,CMA,Radiomètre,MWTS-2,Capteur de température,Operational,PDF
C08/955,955,CMA,Capteur,HIRAS Capteur atmosphérique hyperspectral,,Operational,PDF
C08/956,956,CMA,Spectromètre,SBUS Capteur du rayonnement solaire ultraviolet rétrodiffusé,,Operational,PDF
C08/957,957,CMA,Spectromètre,TOU Unité d'ozone,,Operational,PDF
C08/958,958,CMA,Capteur à GNSS,GNOS Capteur à occultation - Système mondial,,Operational,PDF
C08/959,959,SNSB,Sondage au limbe,SMR Radiomètre en ondes submillimétriques,,Operational,PDF
C08/960,960,En réserve,,,,Operational,PDF
C08/961,961,CMA,Radiomètre,AGRI Imageur à rayonnement géosynchrone,,Operational,PDF
C08/962,962,CMA,Sondeur de,GIIRS Sondeur infrarouge interférométrique,,Operational,PDF
C08/963,963,CMA,Imageur optique à haute résolution,LMI Imageur pour cartographie de la foudre,,Operational,PDF
C08/964,964,CMA,Environnement,SEP Dispositif pour l'étude de l'environnement,,Operational,PDF
C08/965,965,,,,,Operational,NA
C08/966,966,,,,,Operational,NA
C08/967,967,,,,,Operational,NA
C08/968,968,,,,,Operational,NA
C08/969,969,,,,,Operational,NA
C08/970,970,,,,,Operational,NA
C08/971,971,,,,,Operational,NA
C08/972,972,,,,,Operational,NA
C08/973,973,,,,,Operational,NA
C08/974,974,,,,,Operational,NA
C08/975,975,,,,,Operational,NA
C08/976,976,,,,,Operational,NA
C08/977,977,,,,,Operational,NA
C08/978-979,978-979,,,,,Operational,NA
C08/980,980,KMA,Imageur,AMI Imageur météorologique perfectionné,,Operational,PDF
C08/981,981,KMA,Imageur,MI Imageur météorologique,,Operational,PDF
C08/982,982,KMA,Environnement,KSEM Dispositif coréen de surveillance,,Operational,PDF
C08/983,983,,,,,Operational,NA
C08/984,984,,,,,Operational,NA
C08/985,985,,,,,Operational,NA
C08/986,986,,,,,Operational,NA
C08/987,987,,,,,Operational,NA
C08/988,988,,,,,Operational,NA
C08/989,989,,,,,Operational,NA
C08/990,990,,,,,Operational,NA
C08/991,991,,,,,Operational,NA
C08/992,992,,,,,Operational,NA
C08/993,993,,,,,Operational,NA
C08/994,994,,,,,Operational,NA
C08/995-999,995-999,,,,,Operational,NA
C08/1000-2046,1000-2046,,,,,Operational,NA
C08/2047,2047,Valeur manquante,,______________,,Operational,PDF
